frame,jumlah_benur
0,170
1,171
2,170
3,180
4,177
5,175
6,175
7,165
8,167
9,166
10,163
11,163
12,160
13,162
14,163
15,157
16,161
17,157
18,146
19,152
20,150
21,169
22,175
23,168
24,165
25,169
26,165
27,158
28,158
29,146
30,158
31,155
32,151
33,154
34,145
35,146
36,147
37,157
38,153
39,145
40,147
41,145
42,145
43,152
44,150
45,145
46,155
47,157
48,147
49,144
50,153
51,159
52,153
53,148
54,145
55,151
56,149
57,152
58,155
59,144
60,141
61,142
62,148
63,142
64,151
65,156
66,148
67,148
68,149
69,151
70,146
71,146
72,140
73,138
74,148
75,138
76,140
77,137
78,142
79,138
80,135
81,148
82,150
83,154
84,149
85,158
86,147
87,144
88,153
89,152
90,158
91,160
92,159
93,158
94,151
95,153
96,156
97,164
98,157
99,158
100,162
101,157
102,151
103,160
104,144
105,143
106,141
107,145
108,150
109,140
110,138
111,134
112,143
113,150
114,154
115,142
116,145
117,145
118,152
119,157
120,161
121,155
122,152
123,157
124,150
125,144
126,148
127,142
128,141
129,147
130,143
131,146
132,138
133,141
134,145
135,150
136,148
137,142
138,131
139,133
140,137
141,132
142,149
143,144
144,144
145,144
146,140
147,145
148,143
149,143
150,146
151,143
152,142
153,132
154,134
155,134
156,130
157,126
158,121
159,118
160,140
161,137
162,133
163,139
164,147
165,143
166,144
167,149
168,135
169,141
170,144
171,141
172,142
173,142
174,143
175,143
176,143
177,134
178,147
179,146
180,146
181,144
182,145
183,143
184,140
185,145
186,151
187,154
188,146
189,134
190,137
191,133
192,138
193,134
194,130
195,124
196,128
197,124
198,125
199,132
200,138
201,138
202,145
203,150
204,149
205,141
206,144
207,147
208,142
209,139
210,138
211,132
212,126
213,124
214,123
215,123
216,128
217,123
218,134
219,138
220,130
221,138
222,130
223,133
224,138
225,141
226,134
227,140
228,140
229,139
230,138
231,127
232,128
233,132
234,127
235,129
236,139
237,133
238,128
239,122
240,121
241,120
242,123
243,135
244,136
245,133
246,134
247,143
248,136
249,130
250,133
251,125
252,125
253,138
254,138
255,137
256,143
257,141
258,137
259,149
260,147
261,152
262,150
263,150
264,146
265,143
266,145
267,144
268,146
269,147
270,153
271,149
272,153
273,150
274,135
275,140
276,132
277,142
278,137
279,130
280,131
281,128
282,127
283,133
284,139
285,134
286,130
287,137
288,137
289,132
290,130
291,128
292,132
293,125
294,128
295,130
296,127
297,140
298,143
299,145
300,138
301,137
302,141
303,154
304,154
305,148
306,144
307,144
308,144
309,160
310,170
311,156
312,163
313,148
314,157
315,141
316,144
317,148
318,135
319,134
320,134
321,139
322,135
323,127
324,123
325,134
326,141
327,132
328,127
329,131
330,134
331,139
332,153
333,142
334,142
335,143
336,138
337,137
338,148
339,142
340,141
341,139
342,143
343,141
344,145
345,145
346,146
347,146
348,141
349,144
350,145
351,130
352,127
353,128
354,125
355,128
356,120
357,125
358,126
359,131
360,128
361,135
362,139
363,137
364,141
365,139
366,138
367,138
368,129
369,124
370,131
371,143
372,144
373,140
374,138
375,132
376,134
377,136
378,133
379,133
380,136
381,136
382,148
383,140
384,145
385,145
386,150
387,149
388,138
389,132
390,141
391,141
392,144
393,146
394,145
395,149
396,147
397,146
398,154
399,148
400,157
401,147
402,151
403,152
404,144
405,150
406,146
407,151
408,140
409,142
410,132
411,138
412,148
413,143
414,146
415,146
416,135
417,128
418,126
419,131
420,137
421,140
422,141
423,133
424,127
425,133
426,137
427,145
428,135
429,129
430,129
431,136
432,133
433,131
434,140
435,136
436,137
437,140
438,144
439,136
440,129
441,137
442,146
443,147
444,145
445,143
446,149
447,141
448,141
449,139
450,143
451,145
452,142
453,146
454,155
455,158
456,147
457,137
458,134
459,147
460,141
461,149
462,143
463,147
464,152
465,161
466,150
467,147
468,153
469,147
470,149
471,146
472,143
473,144
474,145
475,144
476,153
477,151
478,160
479,151
480,147
481,153
482,147
483,164
484,153
485,152
486,153
487,155
488,156
489,154
490,144
491,141
492,142
493,153
494,149
495,148
496,146
497,143
498,144
499,144
